word,word_length,by_word_count_guessed,by_word_count_missed,by_word_count_total,by_letter_count_guessed,by_letter_count_missed,by_letter_count_total
A,1,1,0,1,1,0,1
A's,3,3,1,4,3,1,4
AMD,3,3,3,6,3,2,5
AMD's,5,5,3,8,5,3,8
AOL,3,3,4,7,3,3,6
AOL's,5,5,2,7,5,2,7
Aachen,6,3,5,8,3,5,8
Aachen's,8,5,2,7,5,2,7
Aaliyah,7,2,2,4,1,2,3
Aaliyah's,9,3,1,4,2,2,4
Aaron,5,1,2,3,1,2,3
Aaron's,7,3,1,4,2,1,3
Abbas,5,3,3,6,3,2,5
Abbas's,7,3,2,5,3,2,5
Abbasid,7,4,1,5,3,1,4
Abbasid's,9,5,1,6,3,0,3
Abbott,6,4,4,8,4,4,8
Abbott's,8,5,3,8,6,3,9
Abby,4,3,5,8,3,4,7
Abby's,6,5,4,9,5,4,9
Abdul,5,4,4,8,4,5,9
Abdul's,7,6,3,9,6,3,9
Abe,3,3,0,3,3,0,3
Abe's,5,5,1,6,5,1,6
Abel,4,3,2,5,3,4,7
Abel's,6,5,2,7,5,2,7
Abelard,7,3,1,4,3,1,4
Abelard's,9,4,0,4,4,0,4
Abelson,7,5,0,5,5,0,5
Abelson's,9,6,1,7,5,0,5
Aberdeen,8,1,1,2,1,1,2
Aberdeen's,10,2,0,2,2,0,2
Abernathy,9,5,1,6,3,1,4
Abernathy's,11,7,0,7,4,0,4
Abidjan,7,2,2,4,2,3,5
Abidjan's,9,4,2,6,4,2,6
Abigail,7,2,3,5,2,2,4
Abigail's,9,5,1,6,3,1,4
Abilene,7,3,1,4,3,0,3
Abilene's,9,5,1,6,5,2,7
Abner,5,5,2,7,5,2,7
Abner's,7,6,0,6,6,1,7
Abraham,7,2,3,5,2,2,4
Abraham's,9,3,1,4,3,2,5
Abram,5,2,4,6,2,4,6
Abram's,7,4,2,6,4,2,6
Abrams,6,3,3,6,3,3,6
Abrams's,8,5,1,6,4,2,6
Absalom,7,2,2,4,2,2,4
Absalom's,9,2,1,3,2,2,4
Abuja,5,1,5,6,1,5,6
Abuja's,7,3,4,7,3,4,7
Abyssinia,9,2,1,3,2,1,3
Abyssinia's,11,2,1,3,2,1,3
Abyssinian,10,2,1,3,2,1,3
Abyssinian's,12,1,1,2,1,1,2
Ac,2,2,2,4,2,2,4
Ac's,4,4,1,5,4,1,5
Acadia,6,3,2,5,3,2,5
Acadia's,8,5,1,6,5,1,6
Acapulco,8,1,3,4,1,3,4
Acapulco's,10,3,2,5,2,2,4
Accenture,9,7,1,8,5,1,6
Accenture's,11,9,0,9,6,0,6
Accra,5,3,2,5,3,2,5
Accra's,7,5,1,6,5,1,6
Acevedo,7,2,2,4,2,2,4
Acevedo's,9,3,1,4,3,2,5
Achaean,7,3,3,6,3,2,5
Achaean's,9,4,0,4,4,1,5
Achebe,6,4,1,5,4,1,5
Achebe's,8,4,1,5,5,1,6
Achernar,8,4,1,5,3,1,4
Achernar's,10,5,0,5,4,0,4
Acheson,7,4,0,4,3,0,3
Acheson's,9,3,1,4,4,2,6
Achilles,8,6,0,6,6,0,6
Achilles's,10,7,0,7,7,0,7
Aconcagua,9,1,3,4,1,3,4
Aconcagua's,11,2,1,3,2,1,3
Acosta,6,3,1,4,3,1,4
Acosta's,8,4,1,5,4,1,5
Acropolis,9,3,1,4,3,1,4
Acrux,5,2,5,7,2,5,7
Acrux's,7,4,4,8,4,4,8
Actaeon,7,3,3,6,3,2,5
Actaeon's,9,4,0,4,4,1,5
Acton,5,3,4,7,3,4,7
Acton's,7,7,2,9,7,2,9
Acts,4,4,3,7,4,3,7
Acts's,6,4,3,7,4,3,7
Acuff,5,3,4,7,3,4,7
Acuff's,7,5,3,8,4,3,7
Ada,3,2,0,2,2,0,2
Ada's,5,4,1,5,4,1,5
Adam,4,2,2,4,2,3,5
Adam's,6,5,2,7,5,2,7
Adams,5,3,2,5,3,2,5
Adams's,7,3,1,4,3,1,4
Adan,4,3,1,4,3,2,5
Adan's,6,4,3,7,4,3,7
Adana,5,3,2,5,3,2,5
Adana's,7,5,1,6,5,1,6
Adar,4,3,0,3,3,1,4
Adar's,6,5,1,6,5,1,6
Addams,6,2,4,6,2,4,6
Addams's,8,4,2,6,5,1,6
Adderley,8,2,1,3,2,1,3
Adderley's,10,4,1,5,4,1,5
Addie,5,4,3,7,3,2,5
Addie's,7,6,3,9,5,2,7
Addison,7,6,1,7,4,2,6
Addison's,9,7,0,7,5,1,6
Adela,5,3,1,4,3,1,4
Adela's,7,5,0,5,5,0,5
Adelaide,8,3,2,5,3,2,5
Adelaide's,10,5,1,6,4,1,5
Adele,5,2,2,4,2,2,4
Adele's,7,4,1,5,4,1,5
Adeline,7,2,3,5,4,1,5
Adeline's,9,6,1,7,6,1,7
Aden,4,3,1,4,3,1,4
Aden's,6,5,4,9,5,4,9
Adenauer,8,3,1,4,3,1,4
Adenauer's,10,5,0,5,4,0,4
Adhara,6,3,3,6,3,3,6
Adhara's,8,5,2,7,5,2,7
Adidas,6,3,3,6,3,3,6
Adidas's,8,3,1,4,2,1,3
Adirondack,10,2,2,4,2,2,4
Adirondack's,12,3,1,4,3,1,4
Adirondacks,11,3,1,4,3,1,4
Adirondacks's,13,3,0,3,3,0,3
Adkins,6,4,4,8,4,4,8
Adkins's,8,7,1,8,7,1,8
Adler,5,4,1,5,4,1,5
Adler's,7,6,1,7,6,0,6
Adolf,5,3,2,5,3,2,5
Adolf's,7,5,1,6,4,2,6
Adolfo,6,3,3,6,3,3,6
Adolfo's,8,5,1,6,4,1,5
Adolph,6,3,3,6,3,3,6
Adolph's,8,5,1,6,5,1,6
Adonis,6,5,2,7,5,2,7
Adonis's,8,4,1,5,4,1,5
Adonises,8,5,1,6,4,2,6
Adrian,6,4,2,6,4,2,6
Adrian's,8,6,1,7,6,1,7
Adriana,7,2,2,4,1,2,3
Adriana's,9,2,1,3,2,1,3
Adriatic,8,3,2,5,2,2,4
Adriatic's,10,4,1,5,4,1,5
Adrienne,8,4,1,5,4,1,5
Adrienne's,10,5,0,5,5,0,5
Advent,6,5,1,6,6,2,8
Advent's,8,7,0,7,8,0,8
Adventist,9,3,0,3,3,0,3
Adventist's,11,5,0,5,5,0,5
Advents,7,6,1,7,6,1,7
Advil,5,4,3,7,5,4,9
Advil's,7,7,2,9,7,3,10
Aegean,6,2,3,5,2,3,5
Aegean's,8,5,1,6,4,1,5
Aelfric,7,5,1,6,3,2,5
Aelfric's,9,4,0,4,5,0,5
Aeneas,6,4,3,7,2,4,6
Aeneas's,8,3,1,4,4,0,4
Aeneid,6,3,2,5,3,2,5
Aeneid's,8,5,1,6,4,1,5
Aeolus,6,3,1,4,3,3,6
Aeolus's,8,4,1,5,4,2,6
Aeroflot,8,2,2,4,2,2,4
Aeroflot's,10,4,0,4,3,0,3
Aeschylus,9,3,1,4,3,1,4
Aeschylus's,11,5,0,5,5,0,5
Aesculapius,11,3,1,4,3,1,4
Aesculapius's,13,2,0,2,2,0,2
Aesop,5,3,0,3,3,0,3
Aesop's,7,4,1,5,4,1,5
Afghan,6,3,3,6,3,3,6
Afghan's,8,5,2,7,5,2,7
Afghani,7,2,2,4,2,2,4
Afghani's,9,5,2,7,4,1,5
Afghanistan,11,3,1,4,3,1,4
Afghanistan's,13,2,1,3,2,1,3
Afghans,7,3,2,5,3,2,5
Africa,6,4,2,6,4,3,7
Africa's,8,6,1,7,7,1,8
African,7,5,2,7,5,2,7
African's,9,5,1,6,7,1,8
Africans,8,4,2,6,6,2,8
Afrikaans,9,2,1,3,2,1,3
Afrikaans's,11,3,0,3,3,0,3
Afrikaner,9,3,2,5,3,2,5
Afrikaner's,11,5,0,5,4,0,4
Afrikaners,10,4,1,5,4,0,4
Afro,4,3,2,5,3,2,5
Afro's,6,5,1,6,5,1,6
Afrocentrism,12,2,0,2,2,0,2
Afrocentrism's,14,4,0,4,3,0,3
Afros,5,4,2,6,4,2,6
Ag,2,2,3,5,2,3,5
Ag's,4,4,2,6,4,2,6
Agamemnon,9,2,1,3,2,1,3
Agamemnon's,11,5,1,6,3,0,3
Agassi,6,2,1,3,2,1,3
Agassi's,8,2,1,3,2,1,3
Agassiz,7,2,2,4,2,2,4
Agassiz's,9,3,0,3,2,2,4
Agatha,6,2,3,5,2,3,5
Agatha's,8,4,2,6,4,2,6
Aggie,5,4,2,6,4,3,7
Aggie's,7,6,2,8,6,3,9
